Date,Interest Rate,Manufacturing,Mining,Interest Rate MoM Change,Manufacturing MoM Change,Mining MoM Change
2000-01-01,10.15656,3.6585365853658383,100.448284293748,,,
2000-02-01,9.783439999999999,6.304079110012354,100.741706740566,-3.6736847909134784,72.31149567367171,0.29211295034161644
2000-03-01,9.845384615384617,7.855361596009972,98.0030972369386,0.6331578195871712,24.60759865043285,-2.718446601942104
2000-04-01,9.882272727272726,1.3563501849568524,98.2965196837558,0.3746741577821844,-82.73344685181911,0.29940119760480943
2000-05-01,10.223076923076924,2.3952095808383227,93.6017605346809,3.4486418783369555,76.59227000544244,-4.776119402985069
2000-06-01,10.2832,7.384230287859813,100.154861846931,0.588111361926269,208.29161451814727,7.001044932079092
2000-07-01,10.233846153846157,4.247572815533985,98.100904719211,-0.4799463800552739,-42.4777850913278,-2.0507812499997335
2000-08-01,10.149230769230769,3.7037037037036984,98.589942130573,-0.8268190018040023,-12.804232804233017,0.4985044865404076
2000-09-01,10.1608,3.69928400954656,100.448284293748,0.11399120812489727,-0.11933174224273424,1.884920634920162
2000-10-01,10.188461538461537,3.5928143712574974,97.5140598255766,0.27223780077885174,-2.8781147382656136,-2.9211295034075935
2000-11-01,10.217692307692307,3.0696576151121486,100.252669329204,0.28690071725179234,-14.561196379378828,2.808425275827875
2000-12-01,10.20227272727273,5.207100591715999,99.5680169532969,-0.15091059659301242,69.63131543013341,-0.6829268292686264
2001-01-01,10.148846153846154,4.000000000000022,101.524166598745,-0.5236732525661258,-23.18181818181809,1.964636542239906
2001-02-01,10.119583333333333,2.2093023255814117,99.1767870242074,-0.28833642829171335,-44.76744186046502,-2.3121387283238426
2001-03-01,10.166538461538464,0.8092485549132932,99.6658244355693,0.46400258447858445,-63.370854882872266,0.4930966469427478
2001-04-01,10.340454545454547,5.961070559610692,101.035129187383,1.710671577883005,636.61800486618,1.373895976447681
2001-05-01,10.381538461538463,-0.3508771929824313,101.132936669655,0.3973124769643288,-105.8861439312563,0.09680542110317436
2001-06-01,9.9856,1.748251748251754,102.404433939196,-3.8138707765263957,-598.2517482517851,1.2572533849128487
2001-07-01,9.532307692307693,1.5133876600698362,95.0688727687668,-4.539459899177878,-13.434225844005654,-7.163323782234654
2001-08-01,9.368076923076924,-1.4976958525345756,111.402722308257,-1.7228857327307945,-198.9631336405547,17.181069958848184
2001-09-01,9.241666666666667,-0.5753739930955182,94.873257804222,-1.3493725280891211,-61.5827210763919,-14.837576821773812
2001-10-01,8.867037037037038,2.6589595375722546,102.208818974652,-4.053702033864337,-562.1271676300529,7.731958762887081
2001-11-01,8.758846153846154,2.4054982817869623,96.9272149319423,-1.2201469638502438,-9.532347228446858,-5.167464114832942
2001-12-01,9.204782608695652,4.161979752530917,96.3403700383079,5.091269409426502,73.0194439980695,-0.6054490413723967
2002-01-01,9.437692307692307,2.1493212669683035,95.5579101801288,2.5303117835355327,-48.35819982878839,-0.812182741116696
2002-02-01,9.4275,2.0477815699658644,96.9272149319423,-0.10799576167576097,-4.72426800790301,1.4329580348003912
2002-03-01,9.9175,5.61926605504586,99.3724019887521,5.197560328825257,174.4074923547403,2.522704339051418
2002-04-01,10.6,4.2479908151550045,101.3285516342,6.8817746407864755,-24.403102228261808,1.9685039370078927
2002-05-01,11.156538461538462,8.215962441314536,100.154861846931,5.250362844702483,93.40819692932281,-1.1583011583014224
2002-06-01,11.437916666666668,4.810996563573887,99.1767870242074,2.522092368508755,-41.44329896907198,-0.9765624999996669
2002-07-01,11.369259259259264,4.243119266055043,100.643899258293,-0.6002614760036717,-11.803735255570258,1.479289940828088
2002-08-01,11.43,7.602339181286568,102.991278832831,0.5342541616444096,79.16864232653762,2.3323615160355304
2002-09-01,12.110833333333332,7.523148148148151,103.871546173282,5.9565470982793745,-1.041666666666874,0.8547008547003188
2002-10-01,12.612222222222226,3.9414414414414467,103.480316244193,4.140003211082854,-47.60914760914755,-0.37664783427439064
2002-11-01,12.169230769230769,2.348993288590586,102.600048903741,-3.5123980943732813,-40.40268456375892,-0.8506616257093258
2002-12-01,12.266521739130434,-0.6479481641468584,105.729888336458,0.7994833177595861,-127.58407898796646,3.0505243088659872
2003-01-01,12.344615384615386,0.4429678848283597,92.623685711957,0.6366405012419474,-168.36471022517787,-12.395929694727293
2003-02-01,12.627083333333333,0.8918617614269734,112.967642024615,2.288187520771001,101.33779264213483,21.964097148891316
2003-03-01,12.733200000000002,-3.5830618892508017,96.1447550737631,0.8403893746906643,-501.7508143322486,-14.891774891775022
2003-04-01,12.742173913043475,-0.22026431718063375,103.675931208737,0.07047649485967256,-93.85262314777684,7.83316378433323
2003-05-01,12.55384615384615,-3.4707158351410015,103.675931208737,-1.4779876690000582,1475.704989153893,0.0
2003-06-01,11.206666666666665,-2.295081967213098,103.77373869101,-10.731209150326782,-33.872950819672674,0.09433962264209228
2003-07-01,10.893333333333333,-0.7700770077007686,106.707963159182,-2.7959547888161795,-66.44664466446628,2.8275212064092337
2003-08-01,10.248461538461537,-3.804347826086961,104.164968620099,-5.919875717917334,394.0217391304363,-2.3831347387724744
2003-09-01,9.4172,-4.736275565123796,106.707963159182,-8.111086091721075,24.496386283253923,2.4413145539913472
2003-10-01,8.224074074074075,-3.9003250270856027,111.304914825984,-12.669646242258048,-17.649955678124552,4.307974335471543
2003-11-01,7.694000000000001,-1.6393442622950751,105.925503301003,-6.445395181265479,-57.969034608379175,-4.833040421792023
2003-12-01,7.305833333333332,-3.586956521739142,111.207107343712,-5.045056754180766,118.80434782608856,4.986149584487243
2004-01-01,7.601538461538461,-0.5512679162072825,109.642187627354,4.047520860569809,-84.6313186996758,-1.4072119613013911
2004-02-01,7.506666666666668,0.11049723756904477,108.66411280463,-1.2480604466032386,-120.04419889502451,-0.8920606601249492
2004-03-01,7.71846153846154,3.603603603603607,106.805770641454,2.8214236917611712,3161.2612612617368,-1.710171017102169
2004-04-01,7.769545454545456,-0.3311258278145584,107.979460428723,0.6618406508779318,-109.18874172185397,1.0989010989013615
2004-05-01,7.711600000000002,7.078651685393258,109.544380145081,-0.7458023752413334,-2237.7528089888356,1.4492753623185584
2004-06-01,7.8328,3.803131991051425,105.729888336458,1.5716582810311408,-46.27321472959098,-3.482142857142534
2004-07-01,7.89,3.769401330376936,115.412829081425,0.7302624859564899,-0.8869179600880406,9.158186864014795
2004-08-01,7.4448000000000025,7.796610169491526,108.859727769174,-5.642585551330759,106.83948155533427,-5.67796610169543
2004-09-01,7.120400000000001,6.892655367231631,109.153150215992,-4.357403825488948,-11.59420289855082,0.2695417789764898
2004-10-01,7.275384615384616,6.313416009019165,105.240850925096,2.1766279336078664,-8.40371855767268,-3.584229390681215
2004-11-01,7.25153846153846,3.444444444444427,106.903578123726,-0.32776485514911524,-45.442460317460586,1.579925650556957
2004-12-01,7.274166666666668,6.538895152198439,111.011492379167,0.31204695732121035,89.83889151543951,3.8426349496802237
2005-01-01,7.286399999999999,6.6518847006651995,118.738283478686,0.16817504868824606,1.727960853276156,6.960352422907401
2005-02-01,7.227499999999999,5.518763796909503,111.989567201891,-0.8083552920509329,-17.03458425312728,-5.683690280065756
2005-03-01,7.196249999999999,3.804347826086961,114.336946776428,-0.43237634036665806,-31.0652173913044,2.0960698689952206
2005-04-01,6.9516,5.758582502768563,110.913684896895,-3.3996873371547554,51.36845435848778,-2.9940119760472172
2005-05-01,6.749199999999999,0.7345225603357803,111.402722308257,-2.911559928649532,-87.24473323109216,0.44091710758378255
2005-06-01,6.7576,2.3706896551724297,110.229032520988,0.12445919516388404,222.75246305418997,-1.0535557506587079
2005-07-01,6.734615384615383,2.0299145299145445,109.935610074171,-0.3401298594858715,-14.374514374514336,-0.2661934338951344
2005-08-01,6.719615384615384,0.4192872117400394,108.761920286902,-0.22272986864646516,-79.34458788480663,-1.0676156583632301
2005-09-01,6.7379999999999995,4.862579281183943,106.512348194637,0.2735962452063534,1059.7251585623774,-2.06834532374095
2005-10-01,6.793461538461537,0.6362672322375537,107.099193088271,0.8231157385208965,-86.9150260500712,0.550964187327474
